filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
0.in,0,1.00000000147052,-0.061703314667861,0.158185639901089,0.255800504177352,0.0975625607990457,0.0444425807381446,-0.0610519625726933,-0.187935434821596,0.0142360105343206,0.0370580126927026,0.300713998310007,0.198127362676922,0.23826100370338
1.in,1,1.00000000129002,-0.0113307773965722,0.198280894736718,0.234466250251066,0.125817685655166,0.0196572453586719,-0.0322936116087804,-0.172413524869286,0.00381162683090112,0.0621104296194641,0.313138219973337,0.216689608233569,0.27073649134136
6.in,6,1.00000000156616,-0.0631715162424277,0.103135986628316,0.309885081054877,0.0628263732432405,-0.027914262595215,-0.0674964246768104,-0.192913941335951,0.0126064779309651,0.0353005590235902,0.345525912916294,0.231300517839953,0.21192020142489
10.in,10,1.00000000144497,-0.213604480083575,0.196905598212154,0.252444965011187,0.161678426004815,-0.127580885811759,-0.146097154229584,-0.246697795143589,0.051858469641314,-0.0404342811038809,0.392888447323746,0.285214510370186,0.304932814458837
11.in,11,1.00000000134829,-0.182148948494005,0.21137826795583,0.219686233942668,0.219928886896248,-0.182392099410271,-0.115344608375994,-0.23251983314213,0.0374329572160447,-0.0207675571065474,0.403357620939137,0.289063985238908,0.324747926765917
20.in,20,1.00000000145864,-0.141518166281098,0.256593529604846,0.283482576780494,0.114393545935605,0.0795846280729017,-0.101579044298436,-0.22108053030519,0.0320401296060279,-0.00544184707343054,0.367230528837431,0.256036523159806,0.305966035707082
37.in,37,1.00000000115985,-0.0148686576348359,0.301936182234195,0.34081117728921,0.0731905871779236,0.158569366930274,-0.0315054297124689,-0.175310270731456,0.00148234539125863,0.0611776824692958,0.396488647092421,0.278858427286366,0.320520108790377
107.in,107,1.00000000104218,-0.174659500987573,0.232478482689123,0.348943296747955,0.139089198389531,-0.0530236152113472,-0.0989065221962585,-0.281630110750867,0.0391161848217832,-0.00633968176107691,0.513629992945946,0.408058886466146,0.351240764036007
112.in,112,1.00000000122965,-0.234201353478598,0.177168262177069,0.1090753826818,0.216841427741565,0.00375807836857563,-0.103075710780988,-0.344333507442297,0.0496880610724441,-0.018112019761565,0.306140729174113,0.241270216681783,0.3135439827734
123.in,123,1.00000000113192,-0.0839717846321958,0.0251782380763172,0.241410134868398,0.126189598735722,-0.139798434859518,-0.0475782656000388,-0.300410321674087,0.0100945220699461,0.0496060953490444,0.391000590930298,0.31344906223398,0.250773190714361
