filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37
0.in,0,1.00000000147052,-0.061703314667861,0.158185639901089,0.255800504177352,0.0975625607990457,0.0444425807381446,-0.0610519625726933,-0.187935434821596,0.0142360105343206,0.0370580126927026,0.300713998310007,0.198127362676922,0.23826100370338,-0.0368333675373183,-0.0869620619569731,-0.0873122620460794,-0.0331484802039377,0.0226456395805824,0.135650360822627,-0.100215935747311,-0.0387659892082898,0.0219136650252379,0.0190045695829307,0.10473054029948,-0.0015119014320098,-0.0433558421599896,-0.0186715362821798,0.0661559506435915,-0.0270810189516237,-0.0612751448688125,-0.0096462470061729,0.0682285567838338,-0.0253455170106443,-0.0055755071833404,0.0236281320096437,0.108999284106651,0.0028956335818562
1.in,1,1.00000000129002,-0.0113307773965722,0.198280894736718,0.234466250251066,0.125817685655166,0.0196572453586719,-0.0322936116087804,-0.172413524869286,0.0038116268309011,0.0621104296194641,0.313138219973337,0.216689608233569,0.27073649134136,-0.050486691581653,-0.109596012688312,-0.0579192816605689,-0.0357299483132802,0.0370427038503276,0.157115051244469,-0.10048100106515,-0.0232610602696715,0.004893248658579,0.0198388640163166,0.114179128629807,0.008078900234687,-0.0436174562187351,-0.0258564317490108,0.0585321285723976,-0.0165567330582615,-0.0489262770149793,-0.0083055051377565,0.0790751316520951,-0.0289878302034731,0.0014943615740423,0.0277027886340854,0.124220449999161,-0.0013423339729971
3.in,3,1.00000000159311,-0.0947442724017989,0.228335764133221,0.201557564695309,0.189129150563101,-0.0405429082201819,-0.0695444174855496,-0.199616291546778,0.0196469722617061,0.0217953166149981,0.334557470684371,0.224532852883022,0.305875355738639,-0.0322100214394331,-0.148612073465704,-0.10198363013379,-0.0232022367627949,0.0159110529292928,0.188268280106631,-0.097558009490347,-0.0449653223719745,0.0259279350421506,0.0183134229146571,0.132882811129435,-0.0052734165327359,-0.0401324546842516,-0.0296174813723363,0.047838907369054,-0.0306175602072155,-0.0667683192568585,-0.0081466219020111,0.0849351917989546,-0.0228615110602303,-0.0088416400207517,0.0369801601064651,0.141996563454667,-0.009723933956256
5.in,5,1.00000000142217,-0.187173630532981,0.270375205546465,0.166144908487133,0.238044042418871,-0.0858271051304695,-0.120762149487371,-0.241812212007447,0.0336906908213147,-0.0180378491359643,0.357676355183344,0.252161648191,0.360114585072365,-0.0076102937562263,-0.189106565760338,-0.150351635036382,-0.0191207190518899,-0.0086428206852815,0.218397812113464,-0.0969671440653485,-0.0698926686230792,0.0620975465317339,0.0132974060332882,0.150665518809244,-0.020091961281872,-0.0423709724820455,-0.0411851584462003,0.0355950605925471,-0.0475504572815998,-0.0931753291310526,-0.0109662724690411,0.095388433274662,-0.0168660824071655,-0.0187100732740411,0.0451493412706622,0.163772176192709,-0.0180184679921323
6.in,6,1.00000000156616,-0.0631715162424277,0.103135986628316,0.309885081054877,0.0628263732432405,-0.027914262595215,-0.0674964246768104,-0.192913941335951,0.0126064779309651,0.0353005590235902,0.345525912916294,0.231300517839953,0.21192020142489,-0.0303052215300594,-0.0477444079612517,-0.0914894193803673,0.0144562280294248,0.0203806462958993,0.106620578710793,-0.119055377055309,-0.0374316548301658,0.0212633569370533,0.0588078144883477,0.108824038064838,-0.0007643601143128,-0.0652393398447504,0.0003527583069838,0.0853998757715862,-0.0283294409487264,-0.0621408529695688,-0.0125176282669016,0.0527284426661451,-0.0265059161171161,-0.003213864712852,0.0315303470819289,0.128387801729973,-0.0081690375175669
10.in,10,1.00000000144497,-0.213604480083575,0.196905598212154,0.252444965011187,0.161678426004815,-0.127580885811759,-0.146097154229584,-0.246697795143589,0.051858469641314,-0.0404342811038809,0.392888447323746,0.285214510370186,0.304932814458837,0.0076732061992687,-0.125935152423912,-0.173099830337146,0.0251361381128249,-0.0187668622366854,0.172646926317641,-0.118949832762889,-0.076626789651976,0.0787271320434041,0.0527937002616879,0.145418307327006,-0.027864520491434,-0.0632437745305529,-0.0179796332853595,0.0657171962255379,-0.0562632453560017,-0.10363180593011,-0.008637831532055,0.0737798310244793,-0.0128264680083437,-0.0225885897610747,0.0484914560683807,0.177173824517257,-0.0240582773597979
11.in,11,1.00000000134829,-0.182148948494005,0.21137826795583,0.219686233942668,0.219928886896248,-0.182392099410271,-0.115344608375994,-0.23251983314213,0.0374329572160447,-0.0207675571065474,0.403357620939137,0.289063985238908,0.324747926765917,-0.0062164016771922,-0.161814664569007,-0.147387279625655,0.0358087794688017,-0.009747994411624,0.188216143162989,-0.112279607232084,-0.0711570649502011,0.0598239235247592,0.049805309339248,0.157490483760573,-0.0216237555886103,-0.0584360706449401,-0.0210951781860706,0.054060751765119,-0.0456478371049285,-0.0898895473901512,-0.0094964795826256,0.078902538788848,-0.0156466727063939,-0.0199651042681559,0.0531703400202006,0.188241914519198,-0.0300659450507074
12.in,12,1.00000000144162,-0.0594154171838041,0.0399850385822803,0.37043589554745,0.0383428757617025,-0.112416665235856,-0.0534533348521735,-0.19006067162275,0.0124930670993002,0.0391027931641513,0.38934521386768,0.267814213214823,0.187069563882166,-0.0381121031951253,-0.0265969098117138,-0.0819973553647334,0.0630229108433776,0.0256521220105633,0.0817432682276717,-0.141516340864253,-0.036664322534687,0.0192863080600015,0.0883489152384511,0.114911891801298,-0.0012387908462949,-0.0796343278071844,0.0179068788715752,0.105718002473363,-0.02511466642144,-0.0585988751731657,-0.0079527127668086,0.0369257415630167,-0.0258827841475611,-0.0035310309113237,0.0403287544214998,0.147124794422819,-0.014886858924393
14.in,14,1.00000000162516,-0.151155120806728,0.0826532763336796,0.333840058938511,0.0992845643628155,-0.164038401982225,-0.0917532203708685,-0.222339047929757,0.0390068166649625,-0.0035965447808522,0.410349252608026,0.293310984104276,0.225479678959059,-0.0165428643301963,-0.0624413814255643,-0.133625544572996,0.0718649830976252,-0.0012453766964608,0.110672954974288,-0.13708021059584,-0.0636981861417747,0.0495667050356709,0.0863781275354226,0.132274623909334,-0.0156387307524899,-0.0802364054252029,0.0103728112483115,0.0921562869435422,-0.0385806036398285,-0.0837986669512641,-0.0107482918720877,0.048331415881152,-0.0174895198560312,-0.0160256026981503,0.0499488423001553,0.168619559451355,-0.023247121337379
17.in,17,1.00000000106132,-0.185306403234157,0.164904568077064,0.28344014222911,0.188566946542369,-0.237549149760028,-0.123982742037891,-0.239833879313625,0.0426584566067564,-0.0277499772754206,0.435794024872359,0.331290407248084,0.306800192576757,-0.0025340551484494,-0.123901799922982,-0.153100549964774,0.0628590834216706,-0.0143420511956357,0.165278214170022,-0.133420218984094,-0.0731198179965222,0.0642028249569973,0.0791444736250955,0.162994417599415,-0.0204143659871668,-0.0777034507113789,-0.0066883298132228,0.0723672839109808,-0.0492881991696641,-0.0956205787373498,-0.0094502173001493,0.0687542802571524,-0.0141942327038402,-0.0219416749955317,0.0589541153706208,0.206555331927646,-0.03428797309214
