filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
0.in,0,1.00000000147052,-0.061703314667861,0.158185639901089,0.255800504177352,0.0975625607990457,0.0444425807381446,-0.0610519625726933,-0.187935434821596,0.0142360105343206,0.0370580126927026,0.300713998310007,0.198127362676922,0.23826100370338
1.in,1,1.00000000129002,-0.0113307773965722,0.198280894736718,0.234466250251066,0.125817685655166,0.0196572453586719,-0.0322936116087804,-0.172413524869286,0.0038116268309011,0.0621104296194641,0.313138219973337,0.216689608233569,0.27073649134136
3.in,3,1.00000000159311,-0.0947442724017989,0.228335764133221,0.201557564695309,0.189129150563101,-0.0405429082201819,-0.0695444174855496,-0.199616291546778,0.0196469722617061,0.0217953166149981,0.334557470684371,0.224532852883022,0.305875355738639
5.in,5,1.00000000142217,-0.187173630532981,0.270375205546465,0.166144908487133,0.238044042418871,-0.0858271051304695,-0.120762149487371,-0.241812212007447,0.0336906908213147,-0.0180378491359643,0.357676355183344,0.252161648191,0.360114585072365
6.in,6,1.00000000156616,-0.0631715162424277,0.103135986628316,0.309885081054877,0.0628263732432405,-0.027914262595215,-0.0674964246768104,-0.192913941335951,0.0126064779309651,0.0353005590235902,0.345525912916294,0.231300517839953,0.21192020142489
10.in,10,1.00000000144497,-0.213604480083575,0.196905598212154,0.252444965011187,0.161678426004815,-0.127580885811759,-0.146097154229584,-0.246697795143589,0.051858469641314,-0.0404342811038809,0.392888447323746,0.285214510370186,0.304932814458837
11.in,11,1.00000000134829,-0.182148948494005,0.21137826795583,0.219686233942668,0.219928886896248,-0.182392099410271,-0.115344608375994,-0.23251983314213,0.0374329572160447,-0.0207675571065474,0.403357620939137,0.289063985238908,0.324747926765917
12.in,12,1.00000000144162,-0.0594154171838041,0.0399850385822803,0.37043589554745,0.0383428757617025,-0.112416665235856,-0.0534533348521735,-0.19006067162275,0.0124930670993002,0.0391027931641513,0.38934521386768,0.267814213214823,0.187069563882166
14.in,14,1.00000000162516,-0.151155120806728,0.0826532763336796,0.333840058938511,0.0992845643628155,-0.164038401982225,-0.0917532203708685,-0.222339047929757,0.0390068166649625,-0.0035965447808522,0.410349252608026,0.293310984104276,0.225479678959059
17.in,17,1.00000000106132,-0.185306403234157,0.164904568077064,0.28344014222911,0.188566946542369,-0.237549149760028,-0.123982742037891,-0.239833879313625,0.0426584566067564,-0.0277499772754206,0.435794024872359,0.331290407248084,0.306800192576757
18.in,18,1.00000000154798,-0.063659873078599,0.217335810281381,0.304730430647422,0.0610875502960256,0.125072825827005,-0.0566353041594176,-0.186128589160044,0.0119804733575364,0.0407612015172475,0.341590206817248,0.227930814678135,0.268774063101616
19.in,19,1.00000000143734,-0.0153177071592535,0.240457114438037,0.297731164493135,0.0971421854820201,0.0934149299382419,-0.0367058929148245,-0.181966638991827,0.0064183024303661,0.0562374387991369,0.355223361429248,0.24870021654817,0.299932951322703
20.in,20,1.00000000145864,-0.141518166281098,0.256593529604846,0.283482576780494,0.114393545935605,0.0795846280729017,-0.101579044298436,-0.22108053030519,0.0320401296060279,-0.0054418470734305,0.367230528837431,0.256036523159806,0.305966035707082
21.in,21,1.00000000158355,-0.0896577632185761,0.273343888257728,0.247793236596436,0.162314589188192,0.0408972162106482,-0.0726814413095728,-0.206089872210948,0.0185683670756424,0.0201808673521702,0.377919241688894,0.271567064228485,0.329518421859138
23.in,23,1.00000000136468,-0.182650598161882,0.334451258332426,0.229778311338948,0.207903127864222,-0.0126274671261662,-0.116898886087038,-0.232881855029726,0.0411527241056438,-0.0221639037458222,0.404860917896256,0.290148500425591,0.38035873688555
26.in,26,1.00000000130566,-0.141168243906523,0.200357474994983,0.3146592003449,0.0994694450868269,-0.0015210665763222,-0.0936930606951169,-0.22230240738512,0.0300523416878766,-0.0050402934159916,0.405838469410194,0.288696148837845,0.279010105564105
33.in,33,1.00000000114421,-0.0920461362500403,0.164202703715885,0.361585960730238,0.107350383022418,-0.117247888955214,-0.0778179906030248,-0.207142194180494,0.0216581629929599,0.0235363181185789,0.455768667857754,0.349870962917441,0.284284819414215
