filename,index,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37
0.in,0,1.00000000147052,-0.061703314667861,0.158185639901089,0.255800504177352,0.0975625607990457,0.0444425807381446,-0.0610519625726933,-0.187935434821596,0.0142360105343206,0.0370580126927026,0.300713998310007,0.198127362676922,0.23826100370338,-0.0368333675373183,-0.0869620619569731,-0.0873122620460794,-0.0331484802039377,0.0226456395805824,0.135650360822627,-0.100215935747311,-0.0387659892082898,0.0219136650252379,0.0190045695829307,0.10473054029948,-0.00151190143200982,-0.0433558421599896,-0.0186715362821798,0.0661559506435915,-0.0270810189516237,-0.0612751448688125,-0.0096462470061729,0.0682285567838338,-0.0253455170106443,-0.00557550718334048,0.0236281320096437,0.108999284106651,0.00289563358185624
1.in,1,1.00000000129002,-0.0113307773965722,0.198280894736718,0.234466250251066,0.125817685655166,0.0196572453586719,-0.0322936116087804,-0.172413524869286,0.00381162683090112,0.0621104296194641,0.313138219973337,0.216689608233569,0.27073649134136,-0.050486691581653,-0.109596012688312,-0.0579192816605689,-0.0357299483132802,0.0370427038503276,0.157115051244469,-0.10048100106515,-0.0232610602696715,0.00489324865857906,0.0198388640163166,0.114179128629807,0.00807890023468704,-0.0436174562187351,-0.0258564317490108,0.0585321285723976,-0.0165567330582615,-0.0489262770149793,-0.00830550513775656,0.0790751316520951,-0.0289878302034731,0.00149436157404235,0.0277027886340854,0.124220449999161,-0.00134233397299713
6.in,6,1.00000000156616,-0.0631715162424277,0.103135986628316,0.309885081054877,0.0628263732432405,-0.027914262595215,-0.0674964246768104,-0.192913941335951,0.0126064779309651,0.0353005590235902,0.345525912916294,0.231300517839953,0.21192020142489,-0.0303052215300594,-0.0477444079612517,-0.0914894193803673,0.0144562280294248,0.0203806462958993,0.106620578710793,-0.119055377055309,-0.0374316548301658,0.0212633569370533,0.0588078144883477,0.108824038064838,-0.000764360114312857,-0.0652393398447504,0.000352758306983853,0.0853998757715862,-0.0283294409487264,-0.0621408529695688,-0.0125176282669016,0.0527284426661451,-0.0265059161171161,-0.00321386471285203,0.0315303470819289,0.128387801729973,-0.00816903751756696
10.in,10,1.00000000144497,-0.213604480083575,0.196905598212154,0.252444965011187,0.161678426004815,-0.127580885811759,-0.146097154229584,-0.246697795143589,0.051858469641314,-0.0404342811038809,0.392888447323746,0.285214510370186,0.304932814458837,0.00767320619926875,-0.125935152423912,-0.173099830337146,0.0251361381128249,-0.0187668622366854,0.172646926317641,-0.118949832762889,-0.076626789651976,0.0787271320434041,0.0527937002616879,0.145418307327006,-0.027864520491434,-0.0632437745305529,-0.0179796332853595,0.0657171962255379,-0.0562632453560017,-0.10363180593011,-0.00863783153205504,0.0737798310244793,-0.0128264680083437,-0.0225885897610747,0.0484914560683807,0.177173824517257,-0.0240582773597979
11.in,11,1.00000000134829,-0.182148948494005,0.21137826795583,0.219686233942668,0.219928886896248,-0.182392099410271,-0.115344608375994,-0.23251983314213,0.0374329572160447,-0.0207675571065474,0.403357620939137,0.289063985238908,0.324747926765917,-0.00621640167719225,-0.161814664569007,-0.147387279625655,0.0358087794688017,-0.00974799441162405,0.188216143162989,-0.112279607232084,-0.0711570649502011,0.0598239235247592,0.049805309339248,0.157490483760573,-0.0216237555886103,-0.0584360706449401,-0.0210951781860706,0.054060751765119,-0.0456478371049285,-0.0898895473901512,-0.00949647958262567,0.078902538788848,-0.0156466727063939,-0.0199651042681559,0.0531703400202006,0.188241914519198,-0.0300659450507074
20.in,20,1.00000000145864,-0.141518166281098,0.256593529604846,0.283482576780494,0.114393545935605,0.0795846280729017,-0.101579044298436,-0.22108053030519,0.0320401296060279,-0.00544184707343054,0.367230528837431,0.256036523159806,0.305966035707082,-0.0156918765696502,-0.0949283221366273,-0.129104984143324,-0.0821034564111432,0.000789825798057118,0.195065889535008,-0.120916449307707,-0.0605472413924016,0.0505966868233108,0.0504903547290644,0.124663034756996,-0.0153072536777273,-0.0618806135323522,-0.0479865897629226,0.0774279851887677,-0.0401023399699271,-0.0841463062382621,-0.00919372404882102,0.0935794087694746,-0.019066381348402,-0.0150953281478652,0.023656445648387,0.150035458655385,0.00341586510301176
37.in,37,1.00000000115985,-0.0148686576348359,0.301936182234195,0.34081117728921,0.0731905871779236,0.158569366930274,-0.0315054297124689,-0.175310270731456,0.00148234539125863,0.0611776824692958,0.396488647092421,0.278858427286366,0.320520108790377,-0.0488749817450628,-0.0513937123113491,-0.0562654899862549,-0.128853205643851,0.0369612490968082,0.217313607885555,-0.138159183955355,-0.0258229947095464,0.00353253022695895,0.0839105090929172,0.126371395992252,0.00646481645264021,-0.0768182195785648,-0.0614431758337739,0.0974049609350605,-0.0168057717361384,-0.0468079680530555,-0.00897455666137605,0.107237031535231,-0.0279973840195541,0.00259902227055682,0.0154145476595162,0.160977193094334,0.0120346841642161
107.in,107,1.00000000104218,-0.174659500987573,0.232478482689123,0.348943296747955,0.139089198389531,-0.0530236152113472,-0.0989065221962585,-0.281630110750867,0.0391161848217832,-0.00633968176107691,0.513629992945946,0.408058886466146,0.351240764036007,-0.0199290278013009,-0.0852163941885414,-0.148503150837376,-0.00537937941023606,0.0173065654558679,0.240043369989506,-0.182662980346157,-0.0898546309339572,0.0698881485123697,0.167789303465921,0.164121710000896,-0.0376862782096049,-0.117451025910377,-0.0387224598581236,0.111856787483127,-0.0398685489439457,-0.0899356487886122,-0.00667713230497689,0.0946505463306162,-0.0283087417674164,-0.0248907822532294,0.0361482572439975,0.239845681302842,-0.0153773757527713
112.in,112,1.00000000122965,-0.234201353478598,0.177168262177069,0.1090753826818,0.216841427741565,0.00375807836857563,-0.103075710780988,-0.344333507442297,0.0496880610724441,-0.018112019761565,0.306140729174113,0.241270216681783,0.3135439827734,-0.0157760150397467,-0.193353840369216,-0.174206206745281,0.009432616249783,0.0284420766856893,0.235367624843798,-0.119965230055643,-0.122807663692476,0.0965510056559182,0.0620216956056045,0.124162623829147,-0.0661193819425668,-0.0426979089171786,-0.0251361932901127,0.0443948188120918,-0.041717192998371,-0.0962959725551461,-0.00271429319409493,0.0898754195028819,-0.035030870399041,-0.0420619216911824,0.0187730579841552,0.135513536158835,-0.0025766689957079
123.in,123,1.00000000113192,-0.0839717846321958,0.0251782380763172,0.241410134868398,0.126189598735722,-0.139798434859518,-0.0475782656000388,-0.300410321674087,0.0100945220699461,0.0496060953490444,0.391000590930298,0.31344906223398,0.250773190714361,-0.0538661402819495,-0.115646710532842,-0.106491985047797,0.111439541631324,0.0663402399568318,0.16003512235013,-0.161898740063821,-0.0796830955033524,0.047435104276885,0.120530265687936,0.126562629323771,-0.0397190397466544,-0.0857307604082292,0.0148601981594164,0.0908846484440693,-0.0182026734754172,-0.0635385885380812,-0.00530555666163091,0.0521070305983757,-0.0484721507739078,-0.0229064853866978,0.0327942944139636,0.165606223476079,-0.0215853985232592
